title,plays,prefix,album_display_name,year,year_weight,popularity_weight,hybrid_weight
Gamma Knife,3400000.0,nonagon,Nonagon Infinity,2016,0.002067211638174357,0.025550078153180233,0.013808644895677295
People-Vultures,5400000.0,nonagon,Nonagon Infinity,2016,0.002067211638174357,0.040579535890345075,0.021323373764259718
Mr. Beat,548000.0,nonagon,Nonagon Infinity,2016,0.002067211638174357,0.004118071419983167,0.003092641529078762
Evil Death Roll,579000.0,nonagon,Nonagon Infinity,2016,0.002067211638174357,0.004351028014909222,0.0032091198265417897
Invisible Face,774000.0,nonagon,Nonagon Infinity,2016,0.002067211638174357,0.005816400144282794,0.003941805891228576
Wah Wah,478000.0,nonagon,Nonagon Infinity,2016,0.002067211638174357,0.0035920403991823975,0.0028296260186783774
Road Train,622000.0,nonagon,Nonagon Infinity,2016,0.002067211638174357,0.004674161356258266,0.003370686497216312
Rattlesnake,8300000.000000001,flying_microtonal_banana,Flying Microtonal Banana,2017,0.0023256130929461515,0.062372249609234105,0.03234893135109013
Melting,484000.0,flying_microtonal_banana,Flying Microtonal Banana,2017,0.0023256130929461515,0.0036371287723938922,0.0029813709326700216
Open Water,772000.0,flying_microtonal_banana,Flying Microtonal Banana,2017,0.0023256130929461515,0.0058013706865456295,0.0040634918897458905
Sleep Drifter,1900000.0,flying_microtonal_banana,Flying Microtonal Banana,2017,0.0023256130929461515,0.014277984850306602,0.008301798971626376
Billabong Valley,2900000.0,flying_microtonal_banana,Flying Microtonal Banana,2017,0.0023256130929461515,0.021792713718889023,0.012059163405917587
Anoxia,616000.0,flying_microtonal_banana,Flying Microtonal Banana,2017,0.0023256130929461515,0.004629072983046771,0.0034773430379964614
Doom City,614000.0,flying_microtonal_banana,Flying Microtonal Banana,2017,0.0023256130929461515,0.0046140435253096065,0.003469828309127879
Nuclear Fusion,2600000.0,flying_microtonal_banana,Flying Microtonal Banana,2017,0.0023256130929461515,0.019538295058314295,0.010931954075630223
Flying Microtonal Banana,314000.0,flying_microtonal_banana,Flying Microtonal Banana,2017,0.0023256130929461515,0.0023596248647348803,0.002342618978840516
A New World,194000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0014578574005049898,0.0018917352467255706
Altered Beast I,216000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.001623181435613803,0.0019743972642799774
Alter Me I,131000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0009844294817842971,0.0016550212873652243
Altered Beast II,202000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0015179752314536492,0.0019217941621999003
Alter Me II,78000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0005861488517494289,0.00145588097234779
Altered Beast III,138000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0010370325838643742,0.0016813228384052628
Alter Me III,104000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0007815318023325718,0.0015535724476393616
Altered Beast IV,181000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0013601659252134182,0.0018428895090797847
Life / Death,91000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0006838403270410004,0.001504726709993576
Some Context,90000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0006763255981724179,0.0015009693455592847
The Reticent Raconteur,97000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0007289287002524949,0.0015272708965993233
The Lord of Lightning,1600000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.012023566189731874,0.007174589641339013
The Balrog,147000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.001104665143681616,0.0017151391183138837
The Floating Fire,87000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0006537814115666707,0.001489697252256411
The Acrid Corpse,73000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0005485752074065168,0.0014370941501763341
Welcome to an Altered Future,94000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0007063845136467476,0.0015159988032964495
Digital Black,259000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0019463147769628471,0.0021359639349544995
"Han-Tyumi, The Confused Cyborg",101000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0007589876157268246,0.001542300354336488
Soy-Protein Munt Machine,74000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0005560899362750992,0.0014408515146106253
Vomit Coffin,165000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0012399302633160996,0.0017827716781311255
Murder of the Universe,109000.0,murder,Murder of the Universe,2017,0.0023256130929461515,0.0008191054466754839,0.0015723592698108177
Sketches Of Brunswick East I,192000.0,brunswick,Sketches of Brunswick East,2017,0.0023256130929461515,0.001442827942767825,0.0018842205178569882
Countdown,480000.0,brunswick,Sketches of Brunswick East,2017,0.0023256130929461515,0.0036070698569195623,0.002966341474932857
D-Day,137000.0,brunswick,Sketches of Brunswick East,2017,0.0023256130929461515,0.0010295178549957918,0.0016775654739709716
Tezeta,396000.0,brunswick,Sketches of Brunswick East,2017,0.0023256130929461515,0.002975832631958639,0.0026507228624523954
"Cranes, Planes, Migraines",131000.0,brunswick,Sketches of Brunswick East,2017,0.0023256130929461515,0.0009844294817842971,0.0016550212873652243
The Spider And Me,215000.0,brunswick,Sketches of Brunswick East,2017,0.0023256130929461515,0.0016156667067452207,0.001970639899845686
Sketches Of Brunswick East II,158000.0,brunswick,Sketches of Brunswick East,2017,0.0023256130929461515,0.0011873271612360225,0.001756470127091087
Dusk To Dawn On Lygon Street,168000.0,brunswick,Sketches of Brunswick East,2017,0.0023256130929461515,0.0012624744499218467,0.001794043771433999
The Book,214000.0,brunswick,Sketches of Brunswick East,2017,0.0023256130929461515,0.0016081519778766381,0.0019668825354113946
A Journey To (S)Hell,97000.0,brunswick,Sketches of Brunswick East,2017,0.0023256130929461515,0.0007289287002524949,0.0015272708965993233
Rolling Stoned,272000.0,brunswick,Sketches of Brunswick East,2017,0.0023256130929461515,0.002044006252254419,0.002184809672600285
You Can Be Your Silhouette,163000.0,brunswick,Sketches of Brunswick East,2017,0.0023256130929461515,0.0012249008055789346,0.001775256949262543
Sketches Of Brunswick East III,73000.0,brunswick,Sketches of Brunswick East,2017,0.0023256130929461515,0.0005485752074065168,0.0014370941501763341
Crumbling Castle,1900000.0,polygondwanaland,Polygondwanaland,2017,0.0023256130929461515,0.014277984850306602,0.008301798971626376
